City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,holualoa,19.6228,-155.9522,24.91,71,20,4.12,US,1704332906
339,acarau,-2.8856,-40.12,26.81,81,81,4.87,BR,1704332619
340,chonchi,-42.6128,-73.8092,15.56,86,83,0.84,CL,1704332906
341,hanko,59.8333,22.95,-10.24,87,91,11.68,FI,1704332906
342,sealy,29.7808,-96.1572,9.97,89,91,1.34,US,1704332906
343,maryville,35.7565,-83.9705,4.53,80,100,2.68,US,1704332907
344,galliano,29.4422,-90.2992,14.0,77,100,2.57,US,1704332907
345,atafu village,-8.5421,-172.5159,28.78,73,100,4.97,TK,1704332907
346,lander,42.833,-108.7307,-5.78,73,0,2.57,US,1704332907
347,kapuskasing,49.4169,-82.4331,-13.95,78,100,5.14,CA,1704332908
348,lucapa,-8.4192,20.7447,18.46,98,100,1.07,AO,1704332908
349,aurora,39.7294,-104.8319,4.13,54,75,4.12,US,1704332551
350,belmonte,-15.8631,-38.8828,25.97,91,100,4.21,BR,1704332908
351,uenohara,35.6167,139.1167,12.91,38,57,4.36,JP,1704332908
352,al bayda',32.7627,21.7551,9.5,88,2,4.96,LY,1704332909
353,tongliao,43.6125,122.2653,-4.84,75,63,6.5,CN,1704332909
354,zhangye,38.9342,100.4517,-3.8,42,56,1.11,CN,1704332909
355,alakurtti,66.9672,30.3491,-29.9,100,98,1.4,RU,1704332909
356,filadelfia,39.9523,-75.1638,3.42,77,0,0.0,US,1704332665
357,along,28.1667,94.7667,12.59,53,71,0.65,IN,1704332910
358,santo angelo,-28.2992,-54.2631,19.98,93,0,2.92,BR,1704332863
359,benguela,-12.5763,13.4055,25.01,76,100,0.54,AO,1704332910
360,mbuguni,-3.5667,36.95,20.34,86,19,0.17,TZ,1704332911
361,al 'amarah,31.8406,47.1396,12.53,62,0,5.03,IQ,1704332911
362,bontang,0.1333,117.5,28.78,71,99,1.94,ID,1704332911
363,carnarvon,-24.8667,113.6333,30.72,47,0,5.34,AU,1704332644
364,jinchang,38.4953,102.1739,-3.5,39,26,0.78,CN,1704332911
365,kabompo,-13.5927,24.2008,18.25,98,100,1.39,ZM,1704332912
366,kununurra,-15.7667,128.7333,32.99,58,90,2.57,AU,1704332912
367,sodankyla,67.4167,26.6,-24.69,100,100,3.46,FI,1704332912
368,aykhal,66.0,111.5,-31.54,97,100,2.28,RU,1704332912
369,aplahoue,6.9333,1.6833,24.71,90,6,2.03,BJ,1704332912
370,tahoua,14.8888,5.2692,19.07,16,0,4.65,NE,1704332913
371,broome,42.2506,-75.833,0.95,87,100,1.54,US,1704332913
372,lagunas,-5.2269,-75.6753,26.01,77,100,0.76,PE,1704332913
373,kem',64.9555,34.5793,-23.74,90,55,3.04,RU,1704332913
374,garoowe,8.4054,48.4845,17.07,81,7,1.8,SO,1704332914
375,igarka,67.4667,86.5833,-30.54,96,100,7.07,RU,1704332914
376,hobyo,5.3505,48.5268,24.76,71,17,7.77,SO,1704332914
377,bahia blanca,-38.7196,-62.2724,25.09,46,67,5.42,AR,1704332914
378,corner brook,48.9667,-57.9484,-2.91,99,100,0.56,CA,1704332832
379,popesti,47.2333,22.4167,7.77,89,100,8.72,RO,1704332915
380,tooele,40.5308,-112.2983,2.7,93,100,0.0,US,1704332915
381,yuzhno-kurilsk,44.0306,145.8556,-1.38,61,53,0.68,RU,1704332915
382,tashtyp,52.7939,89.8983,-12.63,86,95,4.14,RU,1704332915
383,obo,5.3998,26.4869,20.75,28,68,1.72,CF,1704332916
384,mogocha,53.7333,119.7667,-21.28,94,100,0.45,RU,1704332916
385,puerto lleras,3.0223,-73.4044,23.39,78,86,1.34,CO,1704332916
386,ati,13.2154,18.3353,20.2,14,97,4.56,TD,1704332916
387,lalsot,26.5667,76.3333,7.66,73,0,1.92,IN,1704332916
388,argo,37.6333,22.7333,14.32,79,64,1.86,GR,1704332917
389,torit,4.4133,32.5678,24.67,34,12,0.96,SS,1704332917
390,marang,5.2056,103.2059,27.95,82,97,4.51,MY,1704332782
391,buritizeiro,-17.3511,-44.9622,21.58,98,100,1.42,BR,1704332917
392,benghazi,32.1167,20.0667,17.16,68,32,5.54,LY,1704332918
393,rimus,16.8764,120.3966,28.25,63,14,1.6,PH,1704332918
394,princeville,45.7668,-61.2985,-1.16,89,100,1.03,CA,1704332918
395,saint joseph,39.7686,-94.8466,-0.25,89,100,5.14,US,1704332808
396,longgang,37.6508,120.3286,3.52,55,0,8.14,CN,1704332918
397,sona,45.4388,10.8255,5.52,94,78,2.06,IT,1704332919
398,ugoofaaru,5.6667,73.0,27.64,79,95,3.98,MV,1704332919
399,buchanan,5.8808,-10.0467,25.84,85,12,2.42,LR,1704332919
400,pangody,65.85,74.4859,-19.23,94,100,7.89,RU,1704332919
401,simenqian,27.4872,110.8861,9.74,47,77,0.47,CN,1704332919
402,aioun,16.6614,-9.6149,20.48,13,15,4.23,MR,1704332920
403,osceola,28.042,-81.1242,17.18,73,94,2.85,US,1704332920
404,suva,-18.1416,178.4415,31.71,62,40,3.6,FJ,1704332920
405,botshabelo,-29.2702,26.7052,15.65,61,50,0.86,ZA,1704332921
406,goundam,16.4145,-3.6708,20.39,13,89,2.88,ML,1704332921
407,fort bragg,35.139,-79.006,7.91,64,100,2.06,US,1704332921
408,walvis bay,-22.9575,14.5053,18.53,88,54,0.0,NA,1704332921
409,kingston,17.997,-76.7936,26.53,87,20,2.06,JM,1704332611
410,carauari,-4.8828,-66.8958,26.74,78,93,0.91,BR,1704332922
411,sinabang,2.4803,96.3801,26.98,81,100,0.84,ID,1704332662
412,les trois-ilets,14.539,-61.0361,25.95,83,0,1.03,MQ,1704332922
413,mossel bay,-34.1831,22.146,19.05,92,80,5.93,ZA,1704332922
414,brisas de zicatela,15.8369,-97.0419,26.29,65,40,1.54,MX,1704332923
415,newhaven,50.7969,0.0555,9.46,75,34,0.89,GB,1704332923
416,port isabel,26.0734,-97.2086,14.04,71,0,5.66,US,1704332923
417,debark',13.1561,37.8981,8.19,46,5,1.53,ET,1704332923
418,freeport,40.6576,-73.5832,5.14,67,100,3.6,US,1704332717
419,plastun,44.7561,136.2939,-4.28,45,49,1.01,RU,1704332924
420,sinjai,-5.1241,120.253,30.64,63,97,1.99,ID,1704332924
421,malappuram,11.0667,76.0667,23.09,94,75,1.54,IN,1704332924
422,dalbandin,28.8947,64.4101,14.21,43,74,0.93,PK,1704332924
423,igrim,63.1906,64.4162,-24.01,89,27,3.21,RU,1704332924
424,kavaratti,10.5669,72.642,25.53,90,100,5.89,IN,1704332675
425,umba,66.6871,34.3429,-16.3,93,75,5.54,RU,1704332925
426,senanga,-16.1167,23.2667,20.83,82,100,1.87,ZM,1704332925
427,gerash,27.6652,54.1371,9.08,75,0,2.57,IR,1704332750
428,hammerfest,70.6634,23.6821,-1.75,80,20,4.63,NO,1704332925
429,coquimbo,-29.9533,-71.3436,16.85,94,20,4.12,CL,1704332597
430,alofi,-19.0595,-169.9187,29.94,70,75,5.14,NU,1704332926
431,dunedin,-45.8742,170.5036,19.3,63,100,4.69,NZ,1704332656
432,le port,-20.9373,55.2919,27.98,88,100,4.54,RE,1704332926
433,cosala,24.4125,-106.6908,15.08,72,0,0.09,MX,1704332927
434,peseux,46.987,6.889,7.77,89,75,8.23,CH,1704332927
435,mhamid,29.82,-5.72,12.28,30,67,1.38,MA,1704332927
436,nadi,-17.8,177.4167,30.0,70,40,6.17,FJ,1704332927
437,simanggang,1.2472,111.4528,25.99,94,20,0.0,MY,1704332927
438,sen monorom,12.45,107.2,21.74,57,13,4.83,KH,1704332928
439,hinton,53.4001,-117.5857,-2.67,85,59,2.31,CA,1704332928
440,masterton,-40.9597,175.6575,19.38,41,59,3.78,NZ,1704332928
441,thohoyandou,-22.9456,30.485,19.28,86,73,1.19,ZA,1704332928
442,schoningen,52.138,10.9675,8.64,87,100,7.12,DE,1704332929
443,makoua,0.0069,15.6333,24.66,76,100,1.59,CG,1704332929
444,vizinga,61.0749,50.1031,-29.89,98,95,2.12,RU,1704332929
445,camabatela,-8.1881,15.375,14.69,99,100,0.35,AO,1704332929
446,musaffah,24.3458,54.5024,24.41,69,20,4.63,AE,1704332930
447,loen,7.7601,168.2307,27.87,77,98,9.21,MH,1704332930
448,iguaba grande,-22.8392,-42.2289,26.02,83,75,3.6,BR,1704332930
449,figuig (centre),32.1089,-1.2286,9.84,31,0,1.1,MA,1704332930
450,nar'yan-mar,67.6713,53.087,-11.59,92,100,6.63,RU,1704332930
451,sarangani,5.4033,125.4636,28.19,77,2,7.71,PH,1704332669
452,ola,59.5833,151.2833,-23.53,86,26,2.6,RU,1704332931
453,zabid,14.1951,43.3152,23.1,70,5,0.41,YE,1704332931
454,taksimo,56.3444,114.8794,-21.4,92,98,0.16,RU,1704332932
455,nunkini,20.3333,-90.1833,20.6,73,81,1.86,MX,1704332932
456,shelburne,44.0787,-80.2041,-0.98,97,100,5.31,CA,1704332932
457,casimiro de abreu,-22.4806,-42.2042,25.95,93,100,1.86,BR,1704332932
458,sai buri,6.7013,101.6168,28.87,76,100,4.83,TH,1704332932
459,yatou,37.15,122.3833,5.87,69,0,7.77,CN,1704332933
460,nyurba,63.2842,118.3319,-31.15,98,100,2.69,RU,1704332933
461,greymouth,-42.4667,171.2,16.68,73,100,3.01,NZ,1704332857
462,harper,4.375,-7.7169,26.26,82,73,3.06,LR,1704332933
